eventCategory,eventAction,eventLabel,totalEvents,eventValue
game,start,test,3,0
tweet,#dance #bad #miss #me #lol #funny #gracie (Vine by Gracie Ann Wilson) https://t.co/kZwIRTus9o,@mainedcm,1,7
tweet,#dance #bad #miss #me #lol #funny #gracie (Vine by Gracie Ann Wilson) https://t.co/kZwIRTus9o,none,1,7
tweet,#lol https://t.co/uTq0P40u1J,none,1,1
tweet,@Calicuzn @NBA And of course with helped from zebra uniform #LOL #SmH https://t.co/LqYgaCYgLs,@NBA,1,2
tweet,@DREW_certified Lol.. Yes we will,@asad,1,0
tweet,@jacekleski #LOL,@jacekleski,1,1
tweet,But Obama said we are not to question each others patriotism httpstcoy2MVCv0FZA,Thomas1774Paine,4,0
tweet,CNN brianstelter And yet dozens of leftist jokes about Trump his wife and Sarah Sanders get glossed over U peop httpstcopgkgQVY8vW,brianstelter,1,0
tweet,Cannabis News Network presents Mikki Norris and Chris Conrad Their Story part 6 Trump and Sessions whats next httpstcoLNwMiEIhKs,brianstelter,1,0
tweet,City Park shooting victim says police are treating him like suspect httpstcoL1K0bhu40t,twinKammo,1,0
tweet,Cold water towel supplying on streetsKarachi Heatwave httpstco1YCgR720Ai,ZaheerAhmed69,4,8
tweet,Cold water towel supplying on streetsKarachi Heatwave httpstco1YCgR720Ai,none,1,2
tweet,DamesNo coverups in policeinvolved shooting httpstcohEcCleBwgG,Mabuckley88,1,0
tweet,Follow Sunnah pakistanisoghat ramzan overseas gifts sharelove httpstcoCSwGVjAMsP,JalilAdDinRehm2,3,15
tweet,Follow Sunnah pakistanisoghat ramzan overseas gifts sharelove httpstcoCtdtM14SI1,Sujataraje2,3,15
tweet,Georgia is suffering today after fatal shooting POTUS stop the bloodshed BackfireTrump httpstcoUHNk4k09mB,ajmclean,1,3
tweet,Georgia is suffering today after fatal shooting POTUS stop the bloodshed BackfireTrump httpstcocpC1xoUJcL,KrisParonto,1,3
tweet,GoogleAusEdQld schools open despite shooting threat The Australian httpstcoxzYMF3xu91,KrisParonto,1,0
tweet,GuyHurwitz kenthehorse SamiRamadani1 twinKammo But you are shooting people on their land If you moved the wall httpstco3KvO6Msf5a,twinKammo,1,0
tweet,Head on over to our Instagram stories for more outdoor tile inspiration httpstcoAtojym5wSfLots of new httpstcoTvCn3vLhxX,OSDDigital,4,0
tweet,I feel like less of a weakling after hearing my Jamaica grandmother cant stand this fucking humidity either heatwave,KoblerinPAK,5,5
tweet,I look through Twitters nobody talks about murders rapist People stealing School shooting everybody talks about racist that is so sad,Mabuckley88,1,0
tweet,INN SHA ALLAH we stand with Sir ImranKhan httpstcoiPJCKjR1OW,HaleemAdil,1,1
tweet,India has LoC and Kashmir insurgency fairly under control The appointment of an interlocutor and declaration of httpstcosi2mf4sHaK,JalilAdDinRehm2,3,3
tweet,Its almost 44 C Temperature in Karachi Salute to these people who are doing their duties and jobs outside in th httpstcow8DS6pHK2W,aasiaishaque,5,0
tweet,Just published a new article Hot Sleepless Nights httpstcoZvbSND6vi7 Life Cold HeatWave httpstcoMrGVDpVeQS,OSDDigital,3,9
tweet,JvdLD deputybradlaw Arent they the salmon trousers of a lawyer Maybe a checked shirt and shooting gillet to go with,deputybradlaw,1,0
tweet,KElectricPk fixitpak MianSaqibNisar CMSindhOfficial 44C temp amp No light AgainnnnnKElectricPk i want a valid httpstcoHthsjv92ed,AgainnnnnKElectricPk,1,0
tweet,Maaya actress shamasikander trolled for posting bikini picture during Ramzan httpstcoffc8YRXaJ9,shamasikander,3,3
tweet,Moss Bluff Middle School honors 14yearold Warren Wimberly who passed away Saturday after being shot in the chest httpstcomNCr0gb1pD,Mabuckley88,1,0
tweet,Nowplaying Shooting Stars httpstcoYwQxDClFUd,BBCWorld,1,1
tweet,POTUS News The Note Trump creating own realities in campaign News HeadlineNews httpstcoXZEfCBqRQS,CoreyLMJones,1,4
tweet,Parents, our bargaining tool for 2018! #lol #Fortnite #FortniteE3 #parenting #Parents #parentingtips #parentinghack https://t.co/Tu9m2rk9IG,1,1
tweet,RT 1200WOAI An SAPD officer is in critical condition after being shot six times in a northwest side parking lot httpstcos8Ba84bh3m,1200WOAI,1,0
tweet,RT @OhLookItsAmiel: @JYwalking Ganyan dapat #NoH8Rz #jHyrAh010 #LOL https://t.co/yd2VpZCZb1,@JYwalking,1,1
tweet,RT @janeevakaila: This day last week @mainedcm #mishu #lol https://t.co/MqglqekUm6,@mainedcm,4,8
tweet,RT @marshawright: Mmmm one of the many things we all have in common! #quote #thoughts #lol #complicated https://t.co/SQXY8xR7ia,@marshawright:,3,12
tweet,RT AEerren3 Never mind Jarretts ties to Iran her father father in law and Obamas mentor Frank Marshall Davis were radical communist,AEerren3,8,0
tweet,RT ARMYIndonesiaa Episode BTS Euphoria Theme of LOVE YOURSELF Wonder Shooting Sketch owl httpstcoEzRW82Qkg4,ARMYIndonesiaa,1,2
tweet,RT AajKamranKhan Somersault is the word best to describe PTIs sudden back tracking on Nasir Khosa for care taker CM PunjabUnimaginable,AajKamranKhan,8,0
tweet,RT AmyMek MEDIA BLACKOUT 3 US Imams have called for DEATH of Jews Since Trumps Jerusalem AnnouncementNorth Carolina IMAM Je,AmyMek,1,0
tweet,RT BBCWorld Schoolshooting video game sale pulled httpstcoAHLTEh2uvb,BBCWorld,1,0
tweet,RT BeckyxDee Shooting for GlamWorship today with the lovely MaccaGlamTog httpstco7yJEHhkAXH,MaccaGlamTog,1,0
tweet,RT BostonSchools Yesterday students from Marjory Stoneman Douglas High in Parkland FL met with members of the Boston Student Advisory C,BostonSchools,1,0
tweet,RT CNNPolitics President Trump says without proof that the Mueller team will meddle in midterm elections httpstco817b6LkVvg https,CNNPolitics,1,0
tweet,RT CoreyLMJones Kathy Griffin held up a bloody severed effigy of TrumpMichele Wolf attacked the appearance of Sarah SandersSnoop D,CoreyLMJones,1,0
tweet,RT Emilyreilly123 PalmerReport Observer142 Gowdy didnt sell Trump out Gowdy wants to work in the Judicial system So this is him walk,Observer142,1,0
tweet,RT HaleemAdil Attending Core Group meeting presided by chairman Imran khan from Insaf house Karachi via video link httpstconR51PC1w,HaleemAdil,1,0
tweet,RT IMVoyager Experiencing Ramadan Food Walk in Hyderabad India httpstcoCpT7z7tI8x travel Hyderabad Telangana NovotelHydAirport,IMVoyager,3,12
tweet,RT IWillRedPillU Senator Chuck Grassley RIA Fusion GPS Simpson LIED On Working Against Trump After Election ChuckGrassley DevinNun,DevinNun,1,0
tweet,RT InfamousP Gucci telling Jeezy to dig his dead homie upTI shooting Whats Up Whats Happening in Shawty Los projectsCamron sayin,InfamousP,1,0
tweet,RT IngrahamAngle Andy McCarthy is here next to tell us why he believes team Obama spied on the Trump campaign And more and more FBI agen,IngrahamAngle,8,0
tweet,RT ItsMeCathi BREAKING At least 4645 people died in Puerto Rico due to Hurricane Maria according to a new study from Harvard These,ItsMeCathi,1,0
tweet,RT JaclynCorin THIS IS DISGUSTING Valve Corporation of Bellevue is launching a video game on June 6th thats a school shooting simulator,JaclynCorin,2,0
tweet,RT JalilAdDinRehm2 Infidels think teleportation is not possiblebut our islamic scientist have invented a vest which can actually telepor,JalilAdDinRehm2,9,0
tweet,RT Jillibean557 Roseannes Producer Wanda Sykes Caught Calling Pres Trump An Orangutan httpstcoOQNyugDWWh via WayneDupreeShow,WayneDupreeShow,1,0
tweet,RT Joette56123293 RonWyden StageYaneu Money in Trumps pocket of course,StageYaneu,1,0
tweet,RT KoblerinPAK great idea during the heatwave its very important to provide birds with drinking water this is at our embassy everyon,KoblerinPAK,37,37
tweet,RT KrisParonto I remember it was before your generation started shooting up the schools David even though we still had guns Thank you,KrisParonto,1,0
tweet,RT LaurenWern Melanie did not attend the Memorial Day wreathing event at a military cemetery w Trump She hasnt been seen in public for,LaurenWern,1,0
tweet,RT Layogi Mexican President Sends Trump A Blunt Message About Paying For The Wall HuffPost httpstcoIU21CU9wBB,Layogi,1,0
tweet,RT LearnQuranonl,LearnQuranonl,3,0
tweet,RT MMFlint So therealroseanne woke up this morning amp posted hateful slanderous tweets about me Valerie Jarrett George Soros amp Chelsea,therealroseanne,1,0
tweet,RT MRevereUSA This is the REAL reason therealroseanne show got cancelled They were just waiting for a reason to remove a BIG platform,therealroseanne,4,0
tweet,RT MZHemingway To put the matter more succinctly We know why it is claimed that Halper was a spy we still do not know why it was claim,MZHemingway,4,0
